Year,Count,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Australia,21,19728.8307,21235.2455,22908.0573,24431.3719,26178.9646,28059.9109,30001.4463,31751.6816,34673.3564,37370.4267,40925.0046,43835.0114,47304.7287,50352.3023,54715.5508,57345.2648,61708.0747,66565.3961,70356.7986,77512.8178,79017.3049
Austria,21,11674.5935,12521.3002,13506.2991,14823.8922,16202.6545,16881.8939,17416.4246,18367.8703,19618.2479,20719.8526,21886.3768,22315.2031,23693.8907,24919.931,26576.7067,27298.9536,29476.1779,30752.2302,32990.5568,34603.9533,35530.1418
Belgium,16,,,,,,17325.3526,18337.8283,18857.0401,19619.9969,20942.8665,23044.7397,24347.3352,26270.6413,30332.4183,31420.6439,32539.9907,34630.8221,36411.1927,39426.6566,42452.3786,43982.1031
Canada,21,46502.2197,50945.2078,54117.1157,56093.4972,57749.5679,58460.3705,59174.8422,62593.6004,67717.8726,70499.2766,74132.9276,81144.2009,85998.9003,92229.4794,98357.9413,105834.0767,113830.3269,120546.8044,126574.101,137638.7416,142795.8656
Chile,8,,,,,,,,,,,,,,12533.3938,12991.3518,13709.7093,15324.8863,17155.0218,18564.4255,19708.3231,21509.1775
Czech Republic,21,4924.8836,4661.691,4894.8472,6716.1331,7272.3225,8205.0806,8544.4369,8676.2795,8685.3691,9193.3337,9583.3322,10641.6749,11609.2663,13128.3779,13677.4777,14552.3994,15520.7643,16553.3547,17944.4739,20700.8874,19676.1239
Denmark,21,7760.1029,8029.7061,8388.3582,8940.9855,9375.5401,9489.0722,10093.8866,10531.378,10670.5496,12227.456,12803.2638,13695.5252,14782.6965,14988.3991,16133.9438,16783.8899,18544.1131,19673.9554,21385.2234,23557.2418,24231.2034
Estonia,12,,,,,,,,,,691.1197,700.9947,701.1668,770.6804,885.3064,1017.0322,1111.8914,1279.793,1470.8992,1717.3677,1778.8256,1719.2021
Finland,21,6477.5521,7226.8335,7318.3731,6831.5073,6759.8563,7238.2735,7596.5459,7917.8167,8191.0726,8603.3642,9194.3232,9774.6395,10620.1177,11189.282,12252.0356,12964.1925,13824.5042,14581.4768,15969.3769,16631.7672,16787.2607
France,21,81782.8945,87692.0425,93656.9059,99796.9913,103931.2333,120980.5241,125154.7148,129515.347,135037.5306,140992.5345,151086.656,162676.1533,175845.7338,175360.519,184178.6643,195362.1236,207568.2483,218453.2929,229725.0138,245537.4479,251577.9715
Germany,20,109066.7904,,153721.3878,155682.3823,166794.5904,178372.2916,188488.4432,190070.2543,196105.8405,204024.2452,211789.5439,221920.4191,232999.4769,245906.4424,251285.2174,266792.6649,283776.2223,295587.217,314769.644,333564.9134,349388.2671
Greece,20,8194.698,8518.5827,9599.294,10851.3409,12402.1172,12921.1038,13408.643,14010.4032,14339.6084,15257.9597,15109.0221,18136.5275,20393.2872,21300.965,22082.0842,25103.7537,27964.4655,29312.6884,,33367.9856,29575.6698
Hungary,20,,5464.0183,5833.446,5994.4443,6735.445,6354.8995,6464.7395,6548.5469,7403.9349,7926.7626,8380.8799,9507.8351,10806.6885,12893.3999,12960.5555,14029.4294,14752.8993,14108.2918,14923.8597,15508.849,16552.5327
Iceland,21,410.0333,432.7676,439.033,460.5443,476.5373,494.8586,520.8307,559.6389,661.3261,721.5056,752.37,793.2682,885.1246,924.8119,974.7382,977.5823,996.3803,1050.9052,1151.589,1159.0972,1082.6171
Ireland,21,2635.5102,2999.0144,3306.5204,3503.7971,3723.9173,4056.0979,4309.0949,4750.9414,5134.4885,5569.1328,6273.8874,7393.0576,8483.036,9419.4119,10502.7095,11627.6534,13111.5978,14711.9893,16255.8574,17481.9412,16644.1536
Israel,21,4565.2715,4846.0978,5565.3373,6088.8179,7158.3509,7586.8033,8267.5471,8951.2233,9335.7869,9392.1833,10670.1057,11610.4965,11845.6513,11299.0876,12066.1444,12259.0627,12413.9068,13630.6761,13979.0894,14418.7105,15284.1275
Italy,21,72652.203,78775.1828,79767.8669,80622.252,82281.3826,82207.3294,86181.319,92631.586,97761.3835,100664.7143,110502.3799,119852.4701,120717.1379,123146.7195,130936.8093,138904.3945,151784.1411,155240.5392,170746.8625,175091.5617,177404.1575
Japan,16,,,,,,183813.5033,197685.4166,202520.1225,209434.9345,222034.7295,240549.411,254305.4927,264660.9123,276932.1284,293136.9377,310993.095,327033.8071,345513.1098,365499.1908,384420.4253,410797.8796
Korea,21,13294.1942,14402.2101,16173.0565,17235.6088,18375.2889,20778.6339,23822.1508,25600.3069,25334.169,30093.6711,34005.9914,40734.2917,42912.8532,47450.7877,51576.0186,58689.6753,67850.5868,76296.6936,81660.0232,88584.0138,97195.1564
Luxembourg,12,,,,,,,,,,1225.2497,1450.9039,1608.4448,1809.51,1938.7389,2223.2274,2264.1077,2483.3745,2504.9095,2750.7337,3003.5137,3062.9432
Mexico,12,,,,,,,,,,44769.9617,48868.5164,54050.5213,57694.8025,66157.9168,71889.833,76571.7721,82179.6928,88450.0515,95862.4075,101002.2615,105457.7791
Netherlands,21,19883.9835,21578.9923,23096.5848,24266.5801,25118.2578,26121.9222,27329.0673,28483.9453,30846.9721,32828.3686,35463.8648,39174.1986,43610.3575,46238.3096,49089.0199,57813.6277,62111.2595,66381.0333,72022.6629,75284.7626,77367.969
New Zealand,7,,,,,,,,,,,,,,,8083.7283,8781.9814,10007.6925,10311.145,11522.9077,12834.381,13186.9868
Norway,21,5463.7976,6047.8837,6543.5955,6779.4296,7191.5128,7626.5918,8374.5825,9723.5958,10445.468,11445.1769,12749.0376,13682.548,15420.8368,16389.7961,17491.7142,18629.2634,20200.1452,21541.7267,23713.6818,24699.182,25606.9028
Poland,21,10087.2516,10724.9318,11777.4815,12756.7503,13403.2154,14396.4547,16638.794,17561.544,18392.6652,21148.8817,21522.6545,23823.7562,26941.6013,27401.8006,29406.1424,30773.4593,33686.5852,37810.1018,44150.9305,48661.106,50975.1997
Portugal,21,6154.1625,7266.3448,7696.2226,8050.3578,8268.2046,9860.0825,10641.3054,11289.3089,11865.7352,13085.4759,15658.2078,16396.9139,17336.6036,18643.9877,19767.9651,22080.7205,22854.4136,23983.2385,25573.8557,27353.7716,27773.9327
Slovak Republic,12,,,,,,,,,,3159.1356,3197.482,3515.3113,3896.83,4073.4427,5214.748,5877.3602,6963.173,8300.3779,9578.6115,10621.471,10334.2247
Slovenia,9,,,,,,,,,,,,,3210.1044,3373.9743,3589.7007,3806.2464,4055.0181,4182.8752,4696.0665,4823.0755,4839.3729
Spain,21,32428.5219,35412.2552,38737.7665,41039.2128,42457.0222,45540.6876,48014.7009,50053.9928,53308.2175,56154.2907,60074.9146,64197.83,69503.1234,82125.6145,88343.1097,95416.3702,108510.527,118086.9734,130327.7035,138231.4737,137200.8788
Sweden,21,12457.5171,12702.0284,13345.7512,13813.7339,13929.2939,14632.7697,15646.4005,15881.7693,16758.8822,17854.1458,19337.6144,21320.2779,23014.9266,24299.3265,25460.7549,25688.9065,27892.6784,30022.7765,32139.3481,33140.8172,33281.5485
Switzerland,21,13206.3737,14627.5199,15649.1421,16148.26,16849.295,18023.7102,19310.2033,20159.4486,21196.1627,21955.1018,23168.0058,24795.2975,26756.3418,27743.3071,29068.2864,29862.493,31851.9316,34460.9233,37726.7532,40307.5483,41409.0249
Turkey,14,8080.1532,8910.9849,9269.1098,10288.1311,,,,,,23684.6242,27926.4279,28255.7337,29922.2934,30622.22,35219.3949,40079.8431,48376.2722,53756.0469,58782.0983,,
United Kingdom,21,50179.9586,55116.3629,61476.0395,65784.1623,70813.0237,73844.6964,78636.1927,81667.859,86108.8596,92339.2395,102429.4836,113805.6452,123927.7228,132871.3819,145267.0333,155653.3857,170169.9285,175612.7539,185071.2366,199087.7659,192339.4832
United States,21,675591.4134,739477.8236,801012.7892,860311.1141,908761.0035,961570.6307,1014108.709,1070436.045,1129508.979,1200951.948,1289632.126,1402073.248,1535911.541,1668016.656,1788341.439,1908938.784,2035587.421,2158742.474,2257268.372,2358007.325,2449603.285
